from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
20,20,,,246092124609233+1539350+1,246092124609233+1543540+1,1,
20,20,,,246092724609271+1539350+1,246092724609271+1543540+1,1,
20,20,,,246093424609373+1539350+1,246093424609373+1543540+1,1,
20,20,,,246092824609302+1539351+1,246092824609302+1543541+1,1,
20,20,,,246095524609581+1539357+1,246095524609581+1543543+1,1,
20,20,,,246095524609583+1539357+1,246095524609583+1543543+1,1,
20,20,,,246089224608953+1539348+1,246089224608953+1543538+1,1,
20,20,,,246093424609374+1539350+1,246093424609374+1543540+1,1,
20,20,,,246094524609525+1539356+1,246094524609455+1539533+1,1,
33,33,,,246089224608954+1545511+0,246089224608954+1543852+0,1,
33,33,,,246094524609455+1545513+0,246094524609455+1543855+0,1,
33,33,,,246089924609011+1545514+0,246089924609011+1543854+0,1,
33,33,,,246090624609083+1545515+0,246090624609083+1543852+0,1,
33,33,,,246094824610001+1545515+0,246094824609511+1543852+0,1,
33,33,,,246094824610001+1545515+0,246096224610001+1543852+0,1,
33,33,,,246094824610004+1545515+0,246096224610004+1543852+0,1,
33,33,,,246092824609304+1545516+0,246092824609304+1543854+0,1,
33,33,,,246094224609442+1545516+0,246094224609442+1543854+0,1,
33,33,,,246093824609385+1545519+0,246093824609385+1543859+0,1,
33,33,,,246091524609163+1545542+0,246091524609153+1543875+0,1,
33,33,,,246091524609164+1545542+0,246091624609164+1543872+0,1,
33,33,,,246094824610001+1545542+0,246094824609511+1543872+0,1,
33,33,,,246094824610003+1545542+0,246094824609513+1543872+0,1,
33,33,,,246094824610002+1545542+0,246096224610002+1543872+0,1,
33,33,,,246089224609161+1545549+0,246089924609011+1543894+0,1,
33,33,,,246089224609163+1545549+0,246089924609013+1543894+0,1,
33,33,,,246089224609161+1545549+0,246090624609161+1543895+0,1,
33,33,,,246089224609163+1545549+0,246090624609163+1543895+0,1,
33,33,,,246092124609232+1545571+0,246092124609232+1543917+0,1,
33,33,,,246092724610003+1545573+0,246092824609303+1543918+0,1,
33,33,,,246092724610004+1545573+0,246094224609444+1543918+0,1,
33,33,,,246092724610001+1545573+0,246095524609581+1543924+0,1,
33,33,,,246092724610004+1545573+0,246096224610004+1543917+0,1,
33,33,,,246095924610015+1545576+0,246095924610015+1543925+0,1,
33,33,,,246088924609105+1545593+0,246091124609116+1544986+0,1,
33,33,,,246089224609161+1545594+0,246089224608952+1543942+0,1,
33,33,,,246089224609163+1545594+0,246089224608954+1543942+0,1,
33,33,,,246089224609164+1545594+0,246088924609035+1543941+0,1,
33,33,,,246089224609163+1545594+0,246091624609164+1543947+0,1,
33,33,,,246094524609525+1545597+0,246094624609466+1544991+0,1,
33,33,,,246093824609385+1545599+0,246093924609396+1544994+0,1,
33,33,,,246095324610026+1548358+0,246100224610026+1544430+0,1,
33,33,,,246089024608906+1548405+0,246089024609046+1544479+0,1,
33,33,,,246091824609186+1548410+0,246091824609186+1544479+0,1,
33,33,,,246089824609057+1549419+0,246089124609127+1544467+0,1,
33,33,,,246092624609267+1549420+0,246092624609967+1544467+0,1,
33,33,,,246090424609046+1549493+0,246089024610026+1544558+0,1,
33,33,,,246095324609956+1549499+0,246089024610026+1544558+0,1,
33,33,,,246091924609197+1549550+0,246091924609197+1544666+0,1,
33,33,,,246089024608906+1549613+0,246089024609956+1544738+0,1,
33,33,,,246091924609197+1549620+0,246091924609197+1544741+0,1,
33,33,,,246092024609201+1549621+0,246092024609201+1544742+0,1,
33,33,,,246093324609337+1549624+0,246093324609967+1544739+0,1,
33,33,,,246094024609477+1549626+0,246093324609967+1544739+0,1,
33,33,,,246092024609201+1549681+0,246092024609201+1549306+0,1,
33,33,,,246089224608951+1544031+1,246089224609161+1543016+1,1,
33,33,,,246089224608954+1544031+1,246089224609164+1543016+1,1,
33,33,,,246090224609024+1544031+1,246089224609164+1543016+1,1,
33,33,,,246093424609371+1544033+1,246092724610001+1543016+1,1,
33,33,,,246094824609512+1544033+1,246092724610002+1543016+1,1,
33,33,,,246096224610003+1544033+1,246092724610003+1543016+1,1,
33,33,,,246096224610004+1544033+1,246092724610004+1543016+1,1,
33,33,,,246093424609371+1544033+1,246092724610001+1543055+1,1,
33,33,,,246093424609373+1544033+1,246092724610003+1543055+1,1,
33,33,,,246094824609513+1544033+1,246092724610003+1543055+1,1,
33,33,,,246096224610002+1544033+1,246092724610002+1543055+1,1,
33,33,,,246094224609442+1544034+1,246092724610002+1543016+1,1,
33,33,,,246092824609302+1544034+1,246092724610002+1543055+1,1,
33,33,,,246095524609582+1544034+1,246092724610002+1543055+1,1,
33,33,,,246093324609967+1548415+0,246092624609967+1544480+0,1,
33,33,,,246091824609186+1548424+0,246089024610026+1544504+0,1,
33,33,,,246100224610026+1548431+0,246089024610026+1544504+0,1,
33,33,,,246093324609477+1548461+0,246092624609967+1544531+0,1,
33,33,,,246095324609536+1548463+0,246089024610026+1544530+0,1,
33,33,,,246095424609967+1548464+0,246092624609967+1544531+0,1,
33,33,,,246091824609186+1548517+0,246089024610026+1544588+0,1,
33,33,,,246100224610026+1548524+0,246089024610026+1544588+0,1,
33,33,,,246092524609256+1548586+0,246089024609956+1544704+0,1,
33,33,,,246089824608987+1548587+0,246089124609127+1544705+0,1,
33,33,,,246091924609197+1548590+0,246091924609197+1544706+0,1,
33,33,,,246093224609326+1548592+0,246089024609956+1544704+0,1,
33,33,,,246093924609956+1548663+0,246089024610026+1544778+0,1,
33,33,,,246091824609186+1548668+0,246089024610026+1544778+0,1,
33,33,,,246093224609326+1548671+0,246089024610026+1544778+0,1,
33,33,,,246100224610026+1549701+0,246100224610026+1549325+0,1,
33,33,,,246091224609127+1549720+0,246091224609127+1549358+0,1,
33,33,,,246092624609267+1549720+0,246092624609967+1549358+0,1,
33,33,,,246093324609337+1549726+0,246092624609967+1549358+0,1,
33,33,,,246092524609256+1549738+0,246089024610026+1549376+0,1,
33,33,,,246089024608906+1549754+0,246089024609956+1544949+0,1,
33,33,,,246092024609201+1549761+0,246092024609201+1544953+0,1,
33,33,,,246094524609525+1544039+1,246094524609525+1543019+1,1,
33,33,,,246095924610015+1544040+1,246095924610015+1543021+1,1,
33,33,,,246088924609035+1544055+1,246088924609035+1543089+1,1,
33,33,,,246090224609024+1544056+1,246089224609164+1543090+1,1,
33,33,,,246090624609082+1544058+1,246089224609162+1543090+1,1,
33,33,,,246092124609233+1544058+1,246092124609233+1543090+1,1,
33,33,,,246093424609371+1544058+1,246092724610001+1543090+1,1,
33,33,,,246094224609444+1544059+1,246092724610004+1543090+1,1,
33,33,,,246094524609525+1544065+1,246094524609525+1543093+1,1,
33,33,,,246089224608953+1544068+1,246089224609163+1543198+1,1,
33,33,,,246090624609082+1544072+1,246089224609162+1543198+1,1,
33,33,,,246094224609442+1544073+1,246092724610002+1543198+1,1,
33,33,,,246094524609525+1544078+1,246094524609525+1543197+1,1,
33,33,,,246089924609012+1544130+1,246089924609012+1543240+1,1,
33,33,,,246090624609082+1544131+1,246090624609082+1543241+1,1,
33,33,,,246091624609164+1544131+1,246091624609164+1543241+1,1,
33,33,,,246093424609374+1544131+1,246093424609374+1543241+1,1,
33,33,,,246090924609094+1544132+1,246090924609094+1543242+1,1,
33,33,,,246092824609302+1544132+1,246092824609302+1543242+1,1,
33,33,,,246095924610015+1544138+1,246095924610015+1543246+1,1,
33,33,,,246088924609105+1544156+1,246091024609105+1543268+1,1,
33,33,,,246089224608954+1544157+1,246089224608954+1543267+1,1,
33,33,,,246092724610003+1544263+0,246094824609513+1543378+0,1,
